No,Plant,Kode Laravel,Deskripsi,WC Asal,WC Kompatibel,WC Kompatibel With Condition
1,3000,3012,CGD CNC ARES 7821,WC232,WC233,
2,3000,3012,CGD CNC ARES 7821,WC232,WC234,
3,3000,3012,CGD CNC ARES 7821,WC232,WC235,
4,3000,3012,CGD CNC ARES 7822,WC233,WC232,WC236
5,3000,3012,CGD CNC ARES 7822,WC233,WC232,WC239
6,3000,3012,CGD CNC ARES 7822,WC233,WC232,WC244
7,3000,3012,CGD CNC ARES 7822,WC233,WC232,WC248
8,3000,3012,CGD CNC ARES 7822,WC233,WC234,WC236
9,3000,3012,CGD CNC ARES 7822,WC233,WC234,WC239
10,3000,3012,CGD CNC ARES 7822,WC233,WC234,WC244
11,3000,3012,CGD CNC ARES 7822,WC233,WC234,WC248
12,3000,3012,CGD CNC ARES 7822,WC233,WC235,WC236
13,3000,3012,CGD CNC ARES 7822,WC233,WC235,WC239
14,3000,3012,CGD CNC ARES 7822,WC233,WC235,WC244
15,3000,3012,CGD CNC ARES 7822,WC233,WC235,WC248
16,3000,3012,CGD CNC ARES 7823,WC234,WC233,WC236
17,3000,3012,CGD CNC ARES 7823,WC234,WC233,WC239
18,3000,3012,CGD CNC ARES 7823,WC234,WC233,WC244
19,3000,3012,CGD CNC ARES 7823,WC234,WC233,WC248
20,3000,3012,CGD CNC ARES 7823,WC234,WC232,WC236
21,3000,3012,CGD CNC ARES 7823,WC234,WC232,WC239
22,3000,3012,CGD CNC ARES 7823,WC234,WC232,WC244
23,3000,3012,CGD CNC ARES 7823,WC234,WC232,WC248
24,3000,3012,CGD CNC ARES 7823,WC234,WC235,WC236
25,3000,3012,CGD CNC ARES 7823,WC234,WC235,WC239
26,3000,3012,CGD CNC ARES 7823,WC234,WC235,WC244
27,3000,3012,CGD CNC ARES 7823,WC234,WC235,WC248
28,3000,3012,CGD CNC ARES 7824,WC235,WC233,WC236
29,3000,3012,CGD CNC ARES 7824,WC235,WC233,WC239
30,3000,3012,CGD CNC ARES 7824,WC235,WC233,WC244
31,3000,3012,CGD CNC ARES 7824,WC235,WC233,WC248
32,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC236
33,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC239
34,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC244
35,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC248
36,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC236
37,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC239
38,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC244
39,3000,3012,CGD CNC ARES 7824,WC235,WC234,WC248
40,3000,3012,CGD BIESSE 1,WC236,,WC233
41,3000,3012,CGD BIESSE 1,WC236,,WC234
42,3000,3012,CGD BIESSE 1,WC236,,WC235
43,3000,3012,CGD SHODA 516,WC237,,WC241
44,3000,3012,CGD SHODA 516,WC237,,WC242
45,3000,3012,CGD SHODA 516,WC237,,WC243
46,3000,3012,CGD HEIAN 431 2,WC238,,
47,3000,3012,CGD HEIAN 442 2,WC239,,WC233
48,3000,3012,CGD HEIAN 442 2,WC239,,WC234
49,3000,3012,CGD HEIAN 442 2,WC239,,WC235
50,3000,3012,CGD HEIAN ZR – 442 P,WC240,,WC241
51,3000,3012,CGD HEIAN ZR – 442 P,WC240,,WC242
52,3000,3012,CGD HEIAN ZR – 442 P,WC240,,WC243
53,3000,3012,CGD CNC ARES B675,WC241,WC242,WC240
54,3000,3012,CGD CNC ARES B675,WC241,WC242,WC237
55,3000,3012,CGD CNC ARES B675,WC241,WC243,WC240
56,3000,3012,CGD CNC ARES B675,WC241,WC243,WC237
57,3000,3012,CGD CNC ARES B676,WC242,WC241,WC240
58,3000,3012,CGD CNC ARES B676,WC242,WC241,WC237
59,3000,3012,CGD CNC ARES B676,WC242,WC243,WC240
60,3000,3012,CGD CNC ARES B676,WC242,WC243,WC237
61,3000,3012,CGD HYPSOS B825,WC243,WC241,WC240
62,3000,3012,CGD HYPSOS B825,WC243,WC241,WC237
63,3000,3012,CGD HYPSOS B825,WC243,WC242,WC240
64,3000,3012,CGD HYPSOS B825,WC243,WC242,WC237
65,3000,3012,CGD HEIAN 431 1,WC244,,WC233
66,3000,3012,CGD HEIAN 431 1,WC244,,WC234
67,3000,3012,CGD HEIAN 431 1,WC244,,WC235
68,3000,3012,CGD HEIAN 431 1,WC244,,WC247
69,3000,3012,CGD HEIAN 431 1,WC244,,WC249
70,3000,3012,CGD HEIAN 431 1,WC244,,WC246
71,3000,3012,CGD INTOREX,WC245,,WC247
72,3000,3012,CGD INTOREX,WC245,,WC249
73,3000,3012,CGD HEIAN SR – 431 P,WC246,,WC247
74,3000,3012,CGD HEIAN SR – 431 P,WC246,,WC244
75,3000,3012,CGD HEIAN SR – 431 P,WC246,,WC249
76,3000,3012,CGD CMS BALLESTRINI,WC247,,WC249
77,3000,3012,CGD CMS BALLESTRINI,WC247,,WC244
78,3000,3012,CGD CMS BALLESTRINI,WC247,,WC246
79,3000,3012,CGD CMS BALLESTRINI,WC247,,WC245
80,3000,3012,CGD HEIAN ER-331P,WC248,,WC233
81,3000,3012,CGD HEIAN ER-331P,WC248,,WC234
82,3000,3012,CGD HEIAN ER-331P,WC248,,WC235
83,3000,3012,CGD BACCI MASTER 1844,WC249,,WC247
84,3000,3012,CGD BACCI MASTER 1844,WC249,,WC244
85,3000,3012,CGD BACCI MASTER 1844,WC249,,WC246
86,3000,3012,CGD BACCI MASTER 1844,WC249,,WC245
87,3000,3012,CGD MANUAL DELTA 1,WC250,,
88,3000,3012,CGD SUB MACH A,WC251,,
89,3000,3013,CGD EDGE BANDING (IMA),WC252,WC384,WC253
90,3000,3013,CGD EDGE BANDING (HF),WC253,,WC252
91,3000,3013,CGD COOL PRESS,WC254,,
92,3000,3014,CGD SANDING A,WC393,,
93,3000,3014,CGD SUB BODY A,WC259,,
94,3000,3014,CGD SANDING B,WC586,,
95,3000,3014,CGD SUB BODY B1,WC260,,
96,3000,3014,CGD SUB BODY B2,WC417,,
97,3000,3014,CGD ASSY GROUP A1,WC744,,
98,3000,3014,CGD ASSEMBLY A1,WC418,,
99,3000,3014,,WC419,,
100,3000,3014,CGD ASSEMBLY A3,WC420,,
101,3000,3014,CGD ASSEMBLY A4,WC421,,
102,3000,3014,CGD ASSY GROUP A2,WC745,,
103,3000,3014,CGD ASSEMBLY A5,WC422,,
104,3000,3014,CGD ASSEMBLY A6,WC423,,
105,3000,3014,CGD ASSEMBLY A7,WC424,,
106,3000,3014,CGD ASSEMBLY A8,WC425,,
107,3000,3014,CGD ASSY GROUP A3,WC746,,
108,3000,3014,CGD ASSEMBLY A9,WC426,,
109,3000,3014,CGD ASSEMBLY A10,WC427,,
110,3000,3014,CGD ASSEMBLY A11,WC428,,
111,3000,3014,CGD ASSY GROUP B1,WC747,,
112,3000,3014,CGD ASSEMBLY B1,WC430,,
113,3000,3014,CGD ASSEMBLY B2,WC431,,
114,3000,3014,CGD ASSEMBLY B3,WC432,,
115,3000,3014,CGD ASSEMBLY B4,WC433,,
116,3000,3014,CGD ASSY GROUP B2,WC748,,
117,3000,3014,CGD ASSEMBLY B5,WC434,,
118,3000,3014,CGD ASSEMBLY B6,WC435,,
119,3000,3014,CGD ASSEMBLY B7,WC436,,
120,3000,3014,CGD ASSEMBLY B8,WC437,,
121,3000,3014,CGD ASSY GROUP B3,WC749,,
122,3000,3014,CGD ASSEMBLY B9,WC438,,
123,3000,3014,CGD ASSEMBLY B10,WC439,,
124,3000,3014,CGD ASSEMBLY B11,WC440,,
125,3000,3014,CGD ASSEMBLY B12,WC441,,
126,3000,3015,CGD PAINTING GROUP A1,WC750,WC751,
127,3000,3015,CGD PAINTING A1,WC261,,
128,3000,3015,CGD PAINTING A2,WC262,,
129,3000,3015,CGD PAINTING A3,WC263,,
130,3000,3015,CGD PAINTING A5,WC265,,
131,3000,3015,CGD PAINTING GROUP A2,WC751,WC750,
132,3000,3015,CGD PAINTING A6,WC266,WC753,
133,3000,3015,CGD PAINTING A7,WC267,,
134,3000,3015,CGD PAINTING A8,WC268,,
135,3000,3015,CGD PAINTING A9,WC269,,
136,3000,3015,CGD PAINTING A10,WC270,,
137,3000,3015,CGD PAINTING A11,WC442,,
138,3000,3015,CGD PAINTING A12,WC443,,
139,3000,3015,CGD PAINTING A4,WC264,,
140,3000,3015,CGD PAINTING GROUP B1,WC752,,
141,3000,3015,CGD PAINTING B1,WC445,,
142,3000,3015,CGD PAINTING B2,WC446,,
143,3000,3015,CGD PAINTING B3,WC447,,
144,3000,3015,CGD PAINTING A4,WC264,,
145,3000,3015,CGD PAINTING B4,WC448,,
146,3000,3015,CGD PAINTING B5,WC449,,
147,3000,3015,CGD PAINTING B6,WC450,,
148,3000,3015,CGD PAINTING B7,WC451,,
149,3000,3015,CGD PAINTING B8,WC452,,
150,3000,3015,CGD PAINTING GROUP C1,WC753,WC751,
151,3000,3015,CGD PAINTING A13,WC444,,
152,3000,3015,CGD PAINTING C7,WC459,,
153,3000,3015,CGD PAINTING C8,WC460,,
154,3000,3015,CGD PAINTING C9,WC461,,
155,3000,3015,CGD PAINTING C10,WC462,,
156,3000,3015,CGD PAINTING C1,WC453,,
157,3000,3015,CGD PAINTING C2,WC454,,
158,3000,3015,CGD PAINTING C3,WC455,,
159,3000,3015,CGD PAINTING C4,WC456,,
160,3000,3015,CGD PAINTING C5,WC457,,
161,3000,3015,CGD PAINTING C6,WC458,,
162,3000,3015,CGD PAINTING C7,WC459,,
163,3000,3015,CGD PAINTING C8,WC460,,
164,3000,3015,CGD PAINTING C9,WC461,,
165,3000,3015,CGD PAINTING C10,WC462,,
166,3000,3015,CGD PAINTING GROUP D1,WC754,,
167,3000,3015,CGD PAINTING D1,WC463,,
168,3000,3015,CGD PAINTING D2,WC464,,
169,3000,3015,CGD PAINTING D3,WC465,,
170,3000,3015,CGD PAINTING D4,WC466,,
171,3000,3015,CGD PAINTING GROUP D2,WC755,,
172,3000,3015,CGD PAINTING D5,WC467,,
173,3000,3015,CGD PAINTING D6,WC468,,
174,3000,3015,CGD PAINTING D7,WC469,,
175,3000,3015,CGD PAINTING D8,WC470,,
176,3000,3015,CGD PAINTING D9,WC471,,
177,3000,3015,CGD PAINTING D10,WC472,,
178,3000,3015,CGD PAINTING D11,WC473,,
179,3000,3016,CGD PACKING LINE 1,WC756,WC757,
180,3000,3016,CGD PACKING 1,WC271,,
181,3000,3016,CGD PACKING 2,WC272,,
182,3000,3016,CGD PACKING LINE 2,WC757,WC756,
183,3000,3016,CGD PACKING 3,WC273,,
184,3000,3016,CGD PACKING 4,WC274,,
185,3000,3016,CGD PACKING 5,WC275,,
186,3000,3021,PACK CUTTING SAW 1,WC320,,
187,3000,3021,PACK CUTTING SAW 2,WC528,,
188,3000,3021,PACK CUTTING SAW 3,WC529,,
189,3000,3021,PACK CUTTING SUGII,WC321,,
190,3000,3021,PACK CNC ER 431P - 1,WC322,,
191,3000,3021,PACK CNC ER 431P - 2,WC323,,
192,3000,3021,PACK CNC SHODA - 1,WC324,,
193,3000,3021,PACK CNC SHODA - 2,WC325,,
194,3000,3021,PACK CNC HEIAN ZR 442P,WC326,,
195,3000,3021,PACK GLUEING,WC394,,
196,3000,3021,PACKAGING BOX SET 1,WC327,,
197,3000,3001,MF CUTTING 2D 1,WC209,WC210,
198,3000,3001,MF CUTTING 2D 2,WC210,WC209,
199,3000,3001,MF CUTTING 3D 1,WC211,WC212,
200,3000,3001,MF CUTTING 3D 2,WC212,WC211,
201,3000,3001,MF CUTTING CNC 1,WC213,WC306,
202,3000,3001,MF CUTTING CNC 1,WC213,WC307,
203,3000,3001,MF CUTTING CNC 1,WC213,WC308,
204,3000,3001,MF CUTTING CNC 2,WC306,WC213,
205,3000,3001,MF CUTTING CNC 2,WC306,WC307,
206,3000,3001,MF CUTTING CNC 2,WC306,WC308,
207,3000,3001,MF CUTTING CNC 3,WC307,WC213,
208,3000,3001,MF CUTTING CNC 3,WC307,WC306,
209,3000,3001,MF CUTTING CNC 3,WC307,WC308,
210,3000,3001,MF CUTTING CNC 4,WC308,WC213,
211,3000,3001,MF CUTTING CNC 4,WC308,WC306,
212,3000,3001,MF CUTTING CNC 4,WC308,WC307,
