PLANT,KODE WC,DESKRIPSI,START TIME,END TIME,OPERATIING TIME,CAPACITY
1000,WC001,SAWMILL PEMBELAH,,,,
1000,WC002,SAWMILL CUTTING,,,,
1000,WC006,SM PROSES PENGOBATAN,,,,
1000,WC007,SM PROSES TALLY,,,,
1000,WC009,KILN DRY CHAMBER 1,,,,
1000,WC010,KILN DRY CHAMBER 2,,,,
1000,WC011,KILN DRY CHAMBER 3,,,,
1000,WC012,KILN DRY CHAMBER 4,,,,
1000,WC013,KILN DRY CHAMBER 5,,,,
1000,WC014,KILN DRY CHAMBER 6,,,,
1000,WC015,KILN DRY CHAMBER 7,,,,
1000,WC016,KILN DRY CHAMBER 8,,,,
1000,WC018,SLICER 1,,,,
1000,WC019,SLICER 2,,,,
1000,WC021,DRYING MACHINERY,,,,
1001,WC024,MP. Cutting 1 KMI,,,,
1001,WC025,MP. Cutting 2 KMI,,,,
1001,WC587,Pembahanan Finger Joint KMI,,,,
1001,WC026,Finger Joint KMI,,,,
1001,WC027,Laminatery 1 Rotary 4 wing KMI,,,,
1001,WC028,Laminatery 2 Rotary 8 wing KMI,,,,
1001,WC029,Laminatery 3 Vinita KMI,,,,
1001,WC030,Laminatery 5 Rotary MK.0023 ( 4 Wing ),,,,
1001,WC031,Sander KMI,,,,
1001,WC819,MLD UNIMATE WW,,,,
1001,WC820,MLD HIDROMATE WW,,,,
1001,WC821,MLD POWERMATE WW,,,,
1001,WC822,MLD PROFIMATE WW,,,,
1000,WC033,Single Rip 1 KMI,,,,
1000,WC034,Single Rip 2 KMI,,,,
1000,WC035,Single Rip 3 ( Laminating ) KMI,,,,
1000,WC852,Single Rip 4 WE,,,,
1000,WC036,Rotary KMI,,,,
1000,WC037,Vinita KMI,,,,
1000,WC038,Newman KMI,,,,
1000,WC779,SANDER WOOD ENGGENEERING,,,,
1000,WC041,MOULDING POWERMATT 2000 KMI,,,,
1000,WC042,MOULDING POWERMATT 2000 XL,,,,
1000,WC043,MOULDING U-300 KMI,,,,
1000,WC044,MANUAL DOWEL&RAIL KMI 1,,,,
1000,WC045,MOULDING UNIMAT 23 MP.0053,,,,
1000,WC046,MOULDING UNIMAT 22 E,,,,
1000,WC047,MOULDING UNIMAT 23 E,,,,
1000,WC051,PEMBAHANAN PANELING CNC 3,,,,
1000,WC052,PANELING CNC PLANNER,,,,
1000,WC049,SCHEELING 1 KMI,,,,
1000,WC050,SCHEELING 2 (FH4330) KMI,,,,
1000,WC055,JOSTING PANELING KMI,,,,
1000,WC056,KUPER 1,,,,
1000,WC057,KUPER 2,,,,
1000,WC058,KUPER 3 ( BENANG ),,,,
1000,WC059,SINGLE RIP,,,,
1000,WC585,MANUAL MOTIF CASEGOOD,,,,
1000,WC060,MANUAL MOTIF LINE C,,,,
1000,WC061,MANUAL MOTIF KMI 3,,,,
1000,WC062,NHF VINITA KMI,,,,
1000,WC063,COOLPRESS KMI,,,,
1000,WC064,PROSES PANEL SENNERSKOV KMI,,,,
1000,WC065,KOBAYASHI 1 ( A ) KMI,,,,
1000,WC066,KOBAYASHI 2 ( D ) KMI,,,,
1000,WC067,KOBAYASHI 3 ( PPI/DRAWER ) KMI,,,,
1000,WC068,TAIHEI ( C ) KMI,,,,
1000,WC070,YAMAMOTO ( DOOR/GT ) KMI,,,,
1000,WC071,MEMBRAN SEIBU KMI,,,,
1000,WC070,HASSEMEN & WARE BRUSH KMI,,,,
1000,WC071,VINITA BENDING 1 KMI,,,,
1000,WC080,CNC ROUTER SHODA NCW-516-1346 MP.0553,,,,
1000,WC737,CNC BANDSAW,,,,
1000,WC072,CNC ROUTER HEIAN NC-531P-FS MP.0558,,,,
1000,WC106,CASE GOOD B PROSES MANUAL 1,,,,
1000,WC831,CASE GOOD B PROSES MANUAL 2,,,,
1000,WC109,PROSES UV,,,,
1000,WC110,FINAL SANDING ASSY DRAWER,,,,
1000,WC111,CASE GOOD B ASSEMBLY DRAWER,,,,
1000,WC478,CASE GOOD B ASSEMBLY DRAWER LINE 2,,,,
1000,WC079,CNC ROUTER SHODA NC291-6716 MP.0633,,,,
1000,WC569,MESIN CNC HEIAN NC 151 MC,,,,
1000,WC862,PROSES MANUAL,,,,
1000,WC818,PROSES ASSEMBLY PROJECT,,,,
1000,WC089,PROSES PAINTING / OLI PROJECT,,,,
1000,WC088,PROSES PACKING PALET,,,,
2000,WC083,PROSES ASSEMBLY 2,,,,
2000,WC085,PROSES ASSEMBLY 1,,,,
2000,WC086,PROSES SANDING BRUSH,,,,
2000,WC783,PROSES ASSEMBLY 3,,,,
2000,WC789,PAINTING PLAYFILED,,,,
2000,WC790,MACHINING CNC PLAYFIELD + SANDING SEALER,,,,
2000,WC796,PACKING PLAYFIELD,,,,
2000,WC774,SANDING GROUP,,,,
2000,WC098,CG C Sanding Komponen Dining,,,,
2000,WC101,CG C Sanding Komponen Bed,,,,
2000,WC767,LIFTER TOP,,,,
2000,WC099,LIFTER TOP 1,,,,
2000,WC474,LIFTER TOP 2,,,,
2000,WC768,LIFTER BED,,,,
2000,WC102,LIFTER BED 1,,,,
2000,WC477,LIFTER BED 2,,,,
2000,WC104,MP UPHOLSTERY 1,,,,
2000,WC686,MP UPHOLSTERY 2,,,,
2000,WC105,ASSY UPHOLSTERY,,,,
2000,WC112,MOULDING MP0004,,,,
2000,WC113,RIP MP.0569,,,,
2000,WC114,MZ 1 MP0494,,,,
2000,WC115,MZ 2 MP0559,,,,
2000,WC116,BANSAW MP0049,,,,
2000,WC117,KYUDO 2CHKYUDO,,,,
2000,WC118,CHAIR CLEAT,,,,
2000,WC119,PROSES BUBUT CHAIR 2CHRBBT,,,,
2000,WC120,CNC 5AXIS BALESTRINI POWER MP.0527,,,,
2000,WC121,CNC 5AXIS BACCI MP.0519,,,,
2000,WC122,CNC COPY SHAPER BALESTRINI MP.0452,,,,
2000,WC124,CNC 3 AXIS HEIAN MP.0592,,,,
2000,WC126,CNC 3 AXIS HEIAN MP.0600,,,,
2000,WC127,CNC TWISTER 200 MK.0009,,,,
2000,WC128,CNC 5AXIS BALESTRINI IDEA,,,,
2000,WC777,CNC KITAKO GROUP,,,,
2000,WC123,CNC CARVING KITAKO HS-10 MP.0507,,,,
2000,WC125,CNC CARVING LOW HEADKITAKO MP.0459,,,,
2000,WC129,CHAIR SANDER COMPONEN,,,,
2000,WC814,CHAIR SANDING KOMP 1,,,,
2000,WC815,CHAIR SANDING KOMP 2,,,,
2000,WC816,CHAIR SANDING KOMP 3,,,,
2000,WC817,CHAIR SANDING KOMP 4,,,,
2000,WC130,CHAIR SUB ASSY,,,,
2000,WC810,CHAIR SUB ASSY 1,,,,
2000,WC811,CHAIR SUB ASSY 2,,,,
2000,WC131,CHAIR ASSEMBLY BODY,,,,
2000,WC812,CHAIR ASSEMBLY BODY 1,,,,
2000,WC813,CHAIR ASSEMBLY BODY 2,,,,
2000,WC759,PAINTING CHAIR GENERAL,,,,
2000,WC483,PAINTING CHAIR A1,,,,
2000,WC484,PAINTING CHAIR A2,,,,
2000,WC485,PAINTING CHAIR A3,,,,
2000,WC486,PAINTING CHAIR A4,,,,
2000,WC491,PACKING CHAIR,,,,
2000,WC782,PAINTING METAL GENERAL,,,,
2000,WC486,PAINTING CHAIR A4,,,,
2000,WC484,PAINTING CHAIR A2,,,,
2000,WC487,PAINTING METAL 1,,,,
2000,WC488,PAINTING METAL 2,,,,
2000,WC489,PAINTING METAL 3,,,,
2000,WC490,PAINTING METAL 4,,,,
2000,WC868,Sanding Bleaching,,,,
2000,WC791,Proses Bleaching,,,,
2000,WC792,Proses Bleaching 1,,,,
2000,WC793,Proses Bleaching 2,,,,
2000,WC794,Proses Bleaching 3,,,,
2000,WC860,Proses Bleaching 4,,,,
2000,WC861,Proses Bleaching 5,,,,
2000,WC137,Proses Cutting Carton,,,,
2000,WC138,PROSES SUPORT SKID,,,,
2000,WC776,PROSES SUPORT FOAM 1,,,,
2000,WC832,PROSES SUPORT FOAM 2,,,,
2000,WC139,Packaging Cnc Router HeianNC-442P ( CNC),,,,
2000,WC140,Packaging Cnc Shoda NCB-615 ( CNC 4 ),,,,
2000,WC141,PROSES Machining CnC ER431P,,,,
2000,WC142,CNC BIESSE MT0051,,,,
2000,WC778,PROSES SABLON,,,,
2000,WC143,PROSES LEM ASSEMBLY,,,,
2000,WC144,PROSES PACKAGING BOX SET CASE GOODS,,,,
2000,WC145,MANUAL SOLID,,,,
2000,WC552,CNC 11 HEIAN 431,,,,
2000,WC294,MANUAL,,,,
2000,WC289,CNC 5 HEIAN 251 PMC,,,,
2000,WC291,CNC 7 BACCI MASTER JET 4100/7 AXIES MACHINING CENTER,,,,
2000,WC092,CNC ROUTER HEIAN NC-431P MP.0602,,,,
2000,WC093,CNC CARVING (1) KITAKO CVH4-2300-5A MP.0190,,,,
2000,WC094,CNC NC 272P HEIAN MP.0591,,,,
2000,WC095,CNC ROUTER HEIAN ER-43 1P HEIAN ER-431P MP.0550,,,,
2000,WC096,CNC Ares 4818,,,,
2000,WC097,CNC BACCI MASTER 1866,,,,
2000,WC146,CNC BALESTRINI IDEA POWER 300 ( IDEA 1 ),,,,
2000,WC147,CNC KITAKO MFG 1152 ( CNC KITAKO ),,,,
2000,WC148,CNC KITAKO VF-05065 MP.0567 ( KITAKO 2 ),,,,
2000,WC149,CNC ROUTER HEIAN ER 431P ( CNC ER431 ),,,,
2000,WC154,CNC Bacci Master Flat Mast/02,,,,
2000,WC292,CNC 8 HYPSOS 48/18 PX5,,,,
2000,WC286,CNC 2 HEIAN 631P,,,,
2000,WC293,CNC 9 BACCI MASTER FLAT 1865,,,,
2000,WC082,CNC BACCI MASTER FLAT MAST/02 DOOR&GG,,,,
2000,WC091,CNC ROUTER (9) HEIAN ZR442PE MP.0342,,,,
2000,WC150,CNC ROUTER HEIAN ER-331P-D3 ( CNC 6 ),,,,
2000,WC151,CNC ROUTER HEIAN NC-431PF MP.0601 ( CNC NC-431P ),,,,
2000,WC156,CNC ROUTER BULK BID OF SHODA ( CNC 14 ),,,,
2000,WC157,CNC ROUTER HEIAN NC. 362 P ( CNC 18 ),,,,
2000,WC159,CNC 5 AXIS CMS ARES MK.0002 ( ARES 4 ),,,,
2000,WC160,CNC ROUTER SHODA & SULLAIR VACUM MP.0373 ( CNC 12 ),,,,
2000,WC161,CNC MACHINING CENTRE ARES 36/18 NEW.PX5 MP.0583 ( ARES 1 ),,,,
2000,WC162,CNC CMS ARES MT.0033 ( ARES 2 ),,,,
2000,WC163,CGD Cnc ARESH 7819 MT.0036 (ARES 3 ),,,,
2000,WC165,CNC HYPSOS 1 (CB),,,,
2000,WC166,CNC HYPSOS 2 (EA),,,,
2000,WC108,CNC ROUTER SHODA NC-516-L,,,,
2000,WC169,EDGE BANDING A,,,,
2000,WC170,Edge Banding B,,,,
2000,WC404,EBD NHF A,,,,
2000,WC405,EBD NHF B,,,,
2000,WC406,EBD COOL PRESS A,,,,
2000,WC407,EBD COOL PRESS B,,,,
2000,WC416,EBD SINGLE RIP,,,,
2000,WC408,SANDER KOMPONEN CASE GOOD A1,,,,
2000,WC401,SANDER KOMPONEN CASE GOOD B,,,,
2000,WC871,SANDER KOMPONEN CASE GOOD A2,,,,
2000,WC872,SANDER KOMPONEN CASE GOOD B2,,,,
2000,WC409,CASE GOOD SUB ASSY A,,,,
2000,WC410,CASE GOOD SUB ASSY B,,,,
2000,WC411,CASE GOOD ASSEMBLY BODY A,,,,
2000,WC412,CASE GOOD ASSEMBLY BODY B,,,,
2000,WC873,CASE GOOD SUB DRAWER,,,,
2000,WC874,SUB KOMPONEN COUNTER BALIK A,,,,
2000,WC875,SUB KOMPONEN COUNTER BALIK B,,,,
2000,WC763,CG LIFTER EA GROUP 1,,,,
2000,WC493,CASE GOOD D LIFTER A1,,,,
2000,WC494,CASE GOOD D LIFTER A2,,,,
2000,WC495,CASE GOOD D LIFTER A3,,,,
2000,WC496,CASE GOOD D LIFTER A4,,,,
2000,WC497,CASE GOOD D LIFTER A5,,,,
2000,WC498,CASE GOOD D LIFTER A6,,,,
2000,WC764,CG LIFTER EA GROUP 2,,,,
2000,WC499,CASE GOOD D LIFTER A7,,,,
2000,WC500,CASE GOOD D LIFTER A8,,,,
2000,WC501,CASE GOOD D LIFTER A9,,,,
2000,WC502,CASE GOOD D LIFTER A10,,,,
2000,WC503,CASE GOOD D LIFTER A11,,,,
2000,WC504,CASE GOOD D LIFTER A12,,,,
2000,WC765,CG LIFTER CB GROUP 1,,,,
2000,WC505,CASE GOOD D LIFTER B1,,,,
2000,WC506,CASE GOOD D LIFTER B2,,,,
2000,WC507,CASE GOOD D LIFTER B3,,,,
2000,WC508,CASE GOOD D LIFTER B4,,,,
2000,WC509,CASE GOOD D LIFTER B5,,,,
2000,WC510,CASE GOOD D LIFTER B6,,,,
2000,WC766,CG LIFTER CB GROUP 2,,,,
2000,WC511,CASE GOOD D LIFTER B7,,,,
2000,WC512,CASE GOOD D LIFTER B8,,,,
2000,WC513,CASE GOOD D LIFTER B9,,,,
2000,WC514,CASE GOOD D LIFTER B10,,,,
2000,WC515,CASE GOOD D LIFTER B11,,,,
2000,WC516,CASE GOOD D LIFTER B12,,,,
2000,WC174,PROSES GILDING,,,,
2000,WC770,CG SPRAYBOTH A,,,,
2000,WC580,Painting CG SBY Sprayboth A1,,,,
2000,WC581,Painting CG SBY Sprayboth A2,,,,
2000,WC582,Painting CG SBY Sprayboth A3,,,,
2000,WC583,Painting CG SBY Sprayboth A4,,,,
2000,WC584,Painting CG SBY Sprayboth A5,,,,
2000,WC687,Painting CG SBY Sprayboth A6,,,,
2000,WC804,Painting CG SBY Sprayboth A7,,,,
2000,WC805,Painting CG SBY Sprayboth A8,,,,
2000,WC854,Painting CG SBY Sprayboth A9,,,,
2000,WC876,Painting CG SBY Sprayboth A10 (Clean),,,,
2000,WC771,CG SPRAYBOTH B,,,,
2000,WC688,Painting CG SBY Sprayboth B1,,,,
2000,WC689,Painting CG SBY Sprayboth B2,,,,
2000,WC690,Painting CG SBY Sprayboth B3,,,,
2000,WC691,Painting CG SBY Sprayboth B4,,,,
2000,WC806,Painting CG SBY Sprayboth B5,,,,
2000,WC807,Painting CG SBY Sprayboth B6,,,,
2000,WC808,Painting CG SBY Sprayboth B7,,,,
2000,WC809,Painting CG SBY Sprayboth B8,,,,
2000,WC855,Painting CG SBY Sprayboth B9,,,,
2000,WC834,CG SPRAYBOTH C,,,,
2000,WC835,Painting CG SBY Sprayboth C1,,,,
2000,WC836,Painting CG SBY Sprayboth C2,,,,
2000,WC837,Painting CG SBY Sprayboth C3,,,,
2000,WC838,Painting CG SBY Sprayboth C4,,,,
2000,WC839,Painting CG SBY Sprayboth C5,,,,
2000,WC840,Painting CG SBY Sprayboth C6,,,,
2000,WC841,Painting CG SBY Sprayboth C7,,,,
2000,WC842,Painting CG SBY Sprayboth C8,,,,
2000,WC856,Painting CG SBY Sprayboth C9,,,,
2000,WC843,CG SPRAYBOTH D,,,,
2000,WC844,Painting CG SBY Sprayboth D1,,,,
2000,WC845,Painting CG SBY Sprayboth D2,,,,
2000,WC846,Painting CG SBY Sprayboth D3,,,,
2000,WC847,Painting METAL SBY Sprayboth D4,,,,
2000,WC848,Painting METAL SBY Sprayboth D5,,,,
2000,WC849,Painting METAL SBY Sprayboth D6,,,,
2000,WC850,Painting METAL SBY Sprayboth D7,,,,
2000,WC851,Painting METAL SBY Sprayboth D8,,,,
2000,WC853,Painting CG SBY Sprayboth D9,,,,
2000,WC877,Painting CG SBY Sprayboth D10 (Clean),,,,
2000,WC878,Painting CG SBY Buffing,,,,
2000,WC760,PACKING CASE GOODS GROUP 1,,,,
2000,WC178,CASE Goods Packing LINE 1,,,,
2000,WC179,CASE Goods Packing LINE 2,,,,
2000,WC775,PACKING CASE GOODS GROUP 2,,,,
2000,WC180,CASE Goods Packing LINE 3,,,,
2000,WC518,CASE Goods Packing LINE 4,,,,
2000,WC761,PACKING CASE GOODS GROUP 2,,,,
2000,WC519,CASE Goods Packing LINE 5,,,,
2000,WC520,CASE Goods Packing LINE 6,,,,
2000,WC762,PACKING PALANG KUDA GROUP 3,,,,
2000,WC522,CASE Goods Packing LINE 8,,,,
2000,WC523,CASE Goods Packing LINE 9,,,,
2000,WC869,MESIN ROLLING /PIPE BENDING W11-8X1500,,,,
2000,WC870,MESIN ROLLING /PIPE BENDING ZG-50,,,,
2000,WC784,WELDING ROBOT,,,,
2000,WC787,WELDING MANUAL ( LAS TICK ),,,,
2000,WC785,WELDING MANUAL ( LASER ),,,,
2000,WC801,WELDING MANUAL ( LASER ) 1,,,,
2000,WC802,WELDING MANUAL ( LASER ) 2,,,,
2000,WC786,GRINDING,,,,
2000,WC797,GRINDING 1,,,,
2000,WC798,GRINDING 2,,,,
2000,WC799,GRINDING 3,,,,
2000,WC800,GRINDING 4,,,,
2000,WC803,GRINDING 5,,,,
2000,WC181,Engineering Icon 1 Mansur,,,,
2000,WC182,Engineering Icon 2 Dega,,,,
2000,WC183,Engineering Icon 3 Aziz,,,,
2000,WC184,Engineering Icon 4 Dimas A.,,,,
2000,WC185,Proses Drawing Product,,,,
2000,WC186,Engineering Icon 6 Virdan,,,,
2000,WC187,Engineering Drafter 1 Dimas M,,,,
2000,WC188,Engineering Drafter 2 Aga,,,,
2000,WC189,Engineering Drafter 3 Cahya,,,,
2000,WC190,Engineering Drafter 4 Andri,,,,
2000,WC191,Engineering Drafter 5 Ilham,,,,
2000,WC192,Engineering Drafter 6 Frendi,,,,
2000,WC193,Engineering Drafter 7 Dimas Nasrudin,,,,
2000,WC194,Proses Drawing Box,,,,
2000,WC413,Engineering Drafter 8 Hilman,,,,
2000,WC414,Engineering Drafter 9 Angger,,,,
2000,WC415,Engineering Drafter 10 Zainal,,,,
2000,WC197,Engineering Drafter 11 Adit,,,,
2000,WC198,Engineering Drafter 12 Anas,,,,
2000,WC032,Engineering Drafter 13 Irsyad,,,,
2000,WC196,Engineering Drafter 14 Friska,,,,
2000,WC195,Proses Master Data,,,,
2000,WC199,Machining RND A,,,,
2000,WC526,Machining RND B,,,,
2000,WC200,Assembly RND Line A,,,,
2000,WC527,Machining Manual RND,,,,
2000,WC781,SUB ASSY & ASSY BODY,,,,
2000,WC780,SANDING (KOMPONEN& FINISH BODY),,,,
2000,WC201,Painting RND,,,,
1200,WC022,PACKING HARDWARE & KACA,,,,
3000,WC209,MF CUTTING 2D1,,,,
3000,WC210,MF CUTTING 2D2,,,,
3000,WC211,MF CUTTING 3D1,,,,
3000,WC212,MF CUTTING 3D2,,,,
3000,WC213,MF CNC 1,,,,
3000,WC214,MF MANUAL,,,,
3000,WC216,MF ASSEMBLY AW 2,,,,
3000,WC223,MF POWDER COATING,,,,
3000,WC232,CGD CNC ARES 7821,,,,
3000,WC233,CGD CNC ARES 7822,,,,
3000,WC234,CGD CNC ARES 7823,,,,
3000,WC235,CGD CNC ARES 7824,,,,
3000,WC236,CGD BIESSE 1,,,,
3000,WC237,CGD SHODA 516,,,,
3000,WC238,CGD HEIAN 431 2,,,,
3000,WC239,CGD HEIAN 442 2,,,,
3000,WC240,CGD HEIAN ZR 442 P,,,,
3000,WC241,CGD CNC ARES B675,,,,
3000,WC242,CGD CNC ARES B676,,,,
3000,WC243,CGD HYPSOS B825,,,,
3000,WC244,CGD HEIAN 431 1,,,,
3000,WC245,CGD INTOREX,,,,
3000,WC246,CGD HEIAN SR 431 P,,,,
3000,WC247,CGD CMS BALLESTRINI,,,,
3000,WC248,CGD HEIAN ER-331P,,,,
3000,WC249,CGD BACCI MASTER 1844,,,,
3000,WC250,CGD MANUAL DELTA 1,,,,
3000,WC251,CGD SUB MACH A,,,,
3000,WC252,CGD EDGE BANDING (IMA),,,,
3000,WC253,CGD EDGE BANDING (HF),,,,
3000,WC254,CGD COOL PRESS,,,,
3000,WC259,CGD SUB BODY A,,,,
3000,WC260,CGD SUB BODY B1,,,,
3000,WC261,CGD PAINTING A1,,,,
3000,WC262,CGD PAINTING A2,,,,
3000,WC263,CGD PAINTING A3,,,,
3000,WC264,CLEAN ROOM A4,,,,
3000,WC265,CGD PAINTING A5,,,,
3000,WC266,CGD PAINTING A6,,,,
3000,WC267,CGD PAINTING A7,,,,
3000,WC268,CGD PAINTING A8,,,,
3000,WC269,CGD PAINTING A9,,,,
3000,WC270,CGD PAINTING A10,,,,
3000,WC271,CGD PACKING 1,,,,
3000,WC272,CGD PACKING 2,,,,
3000,WC273,CGD PACKING 3,,,,
3000,WC305,MA CASTING,,,,
3000,WC311,MA GRIND-POL A2,,,,
3000,WC311,MA GRIND-POL A2,,,,
3000,WC312,MA GRIND-POL A3,,,,
3000,WC313,MA GRIND-POL A4,,,,
3000,WC313,MA GRIND-POL A4,,,,
3000,WC314,MA PAINTING 1,,,,
3000,WC317,MA PACKING,,,,
3000,WC318,PD WORKSHOP ASSY 1,,,,
3000,WC319,PD WORKSHOP TACKTIME,,,,
3000,WC320,PACK CUTTING SAW 1,,,,
3000,WC321,PACK CUTTING SUGII,,,,
3000,WC322,PACK CNC ER 431P - 1,,,,
3000,WC323,PACK CNC ER 431P - 2,,,,
3000,WC324,PACK CNC SHODA - 1,,,,
3000,WC325,PACK CNC SHODA - 2,,,,
3000,WC326,PACK CNC HEIAN ZR 442P,,,,
3000,WC327,PACKAGING BOX SET 1,,,,
3000,WC341,SG BLEACHING KMI 3,,,,
3000,WC341,CGD ASSEMBLY B2,,,,
3000,WC374,MF COLOURING B1,,,,
3000,WC375,MF COLOURING B2,,,,
3000,WC376,MF COLOURING B3,,,,
3000,WC377,MF COLOURING B4,,,,
3000,WC378,MF COLOURING B5,,,,
3000,WC379,MF COLOURING B6,,,,
3000,WC380,MF COLOURING B7,,,,
3000,WC390,SG ASSY A1,,,,
3000,WC391,SG ASSY A2,,,,
3000,WC392,SG ASSY A3,,,,
3000,WC393,CGD SANDING A,,,,
3000,WC394,PACK GLUEING,,,,
3000,WC417,CGD SUB BODY B2,,,,
3000,WC418,CGD ASSEMBLY A1,,,,
3000,WC419,CGD ASSEMBLY A2,,,,
3000,WC420,CGD ASSEMBLY A3,,,,
3000,WC421,CGD ASSEMBLY A4,,,,
3000,WC422,CGD ASSEMBLY A5,,,,
3000,WC423,CGD ASSEMBLY A6,,,,
3000,WC424,CGD ASSEMBLY A7,,,,
3000,WC425,CGD ASSEMBLY A8,,,,
3000,WC426,CGD ASSEMBLY A9,,,,
3000,WC427,CGD ASSEMBLY A10,,,,
3000,WC428,CGD ASSEMBLY A11,,,,
3000,WC430,CGD ASSEMBLY B1,,,,
3000,WC431,CGD ASSEMBLY B2,,,,
3000,WC432,CGD ASSEMBLY B3,,,,
3000,WC433,CGD ASSEMBLY B4,,,,
3000,WC434,CGD ASSEMBLY B5,,,,
3000,WC435,CGD ASSEMBLY B6,,,,
3000,WC436,CGD ASSEMBLY B7,,,,
3000,WC437,CGD ASSEMBLY B8,,,,
3000,WC438,CGD ASSEMBLY B9,,,,
3000,WC439,CGD ASSEMBLY B10,,,,
3000,WC440,CGD ASSEMBLY B11,,,,
3000,WC441,CGD ASSEMBLY B12,,,,
3000,WC442,CGD PAINTING A11,,,,
3000,WC443,CGD PAINTING A12,,,,
3000,WC444,CLEAN ROOM  A13,,,,
3000,WC445,CGD PAINTING B1,,,,
3000,WC446,CGD PAINTING B2,,,,
3000,WC447,CGD PAINTING B3,,,,
3000,WC448,CGD PAINTING B4,,,,
3000,WC449,CGD PAINTING B5,,,,
3000,WC450,CGD PAINTING B6,,,,
3000,WC451,CGD PAINTING B7,,,,
3000,WC452,CGD PAINTING B8,,,,
3000,WC453,CGD PAINTING C1,,,,
3000,WC454,CGD PAINTING C2,,,,
3000,WC455,CGD PAINTING C3,,,,
3000,WC456,CGD PAINTING C4,,,,
3000,WC457,CGD PAINTING C5,,,,
3000,WC458,CGD PAINTING C6,,,,
3000,WC459,CGD PAINTING C7,,,,
3000,WC460,CGD PAINTING C8,,,,
3000,WC461,CGD PAINTING C9,,,,
3000,WC462,CGD PAINTING C10,,,,
3000,WC528,PACK CUTTING SAW 2,,,,
3000,WC529,PACK CUTTING SAW 3,,,,
3000,WC547,MA MANUAL A1,,,,
3000,WC548,MA WELDING A1,,,,
3000,WC548,MA WELDING A1,,,,
3000,WC549,MA WELDING A2,,,,
3000,WC549,MA WELDING A2,,,,
3000,WC553,SG ASSY A4,,,,
3000,WC554,SG ASSY A5,,,,
3000,WC586,CGD SANDING B,,,,
3000,WC590,MF GRINDING 1.01,,,,
3000,WC590,MF GRINDING 1.01,,,,
3000,WC591,MF GRINDING 1.02,,,,
3000,WC591,MF GRINDING 1.02,,,,
3000,WC592,MF GRINDING 1.03,,,,
3000,WC592,MF GRINDING 1.03,,,,
3000,WC593,MF GRINDING 1.04,,,,
3000,WC593,MF GRINDING 1.04,,,,
3000,WC594,MF GRINDING 1.05,,,,
3000,WC594,MF GRINDING 1.05,,,,
3000,WC595,MF GRINDING 1.06,,,,
3000,WC595,MF GRINDING 1.06,,,,
3000,WC596,MF GRINDING 1.07,,,,
3000,WC596,MF GRINDING 1.07,,,,
3000,WC614,GRINDING,,,,
3000,WC614,GRINDING,,,,
3000,WC620,MF GRINDING 2.07,,,,
3000,WC620,MF GRINDING 2.07,,,,
3000,WC621,MF GRINDING 2.08,,,,
3000,WC621,MF GRINDING 2.08,,,,
3000,WC631,MF GRINDING 2.18,,,,
3000,WC631,MF GRINDING 2.18,,,,
3000,WC656,WELDING,,,,
3000,WC656,WELDING,,,,
3000,WC672,MA GRIND-POL A5,,,,
3000,WC672,MA GRIND-POL A5,,,,
3000,WC673,MA GRIND-POL A6,,,,
3000,WC673,MA GRIND-POL A6,,,,
3000,WC674,MA GRIND-POL A7,,,,
3000,WC674,MA GRIND-POL A7,,,,
3000,WC675,MA GRIND-POL A8,,,,
3000,WC676,WELDING,,,,
3000,WC676,WELDING,,,,
3000,WC678,MA GRIND-POL B1,,,,
3000,WC678,MA GRIND-POL B1,,,,
3000,WC679,MA GRIND-POL B2,,,,
3000,WC682,MA GRIND-POL B5,,,,
3000,WC682,MA GRIND-POL B5,,,,
3000,WC683,MA GRIND-POL B6,,,,
3000,WC683,MA GRIND-POL B6,,,,
3000,WC684,GRINDING,,,,
3000,WC684,GRINDING,,,,
3000,WC685,MA GRIND-POL B8,,,,
3000,WC685,MA GRIND-POL B8,,,,
3000,WC711,MA GRIND-POL B12,,,,
3000,WC742,SG ASSY GROUP 1,,,,
3000,WC743,SG ASSY GROUP 2,,,,
3000,WC744,CGD ASSY GROUP A1,,,,
3000,WC745,CGD ASSY GROUP A2,,,,
3000,WC746,CGD ASSY GROUP A3,,,,
3000,WC747,CGD ASSY GROUP B1,,,,
3000,WC748,CGD ASSY GROUP B2,,,,
3000,WC749,CGD ASSY GROUP B3,,,,
3000,WC750,CGD PAINTING GROUP A1,,,,
3000,WC751,CGD PAINTING GROUP A2,,,,
3000,WC752,CGD PAINTING GROUP B1,,,,
3000,WC753,CGD PAINTING GROUP C1,,,,
3000,WC756,CGD PACKING LINE 1,,,,
3000,WC757,CGD PACKING LINE 2,,,,
3000,WC863,CGD PAINTING B9,,,,
3000,WC864,CGD PAINTING B10,,,,
